393,"Ni59[0.0]",-1.68743,15.0921,31.9111,0.42317,-0.783474,-0.672137,2.1902e+21,1
401,"Cu64[0.0]",0.108551,-0.0764249,3.97176,3.39316,-10.233,14.0734,5.47859e+13,1
404,"Ni63[0.0]",-4.64875,28.4545,44.7125,0.122946,-0.287363,0.534939,1.46252e+18,1
408,"Cu64[0.0]",0,0,7.09705,7.79148,10.9855,2.25636,3.70503e+13,1
434,"Cu64[0.0]",0,0,2.20114,-0.0565053,0.00756195,0.00759654,1.4573e+14,1
446,"Cu64[0.0]",-3.18431,-10.7188,4.0985,-8.68244,-9.16892,-5.57622,1.97141e+13,1
449,"Ni59[0.0]",-28.095,-23.4296,55.5248,-9.88819,6.31875,7.99558,1.60181e+21,1
475,"Cu64[0.0]",3.78492,1.57771,0.340171,-5.05266,1.95316,5.65784,6.89392e+13,1
486,"Cu66[0.0]",14.5781,18.4902,17.6835,1.4897,-0.698339,-5.05078,1.19621e+11,1
488,"Cu64[0.0]",14.133,7.66559,17.2219,-0.27085,-0.274122,0.0996789,2.7785e+13,1
499,"Cu66[0.0]",-2.51455,1.83436,3.02016,-3.75438,-3.81146,0.717129,6.34764e+11,1
507,"Cu64[0.0]",0,0,4.39749,-9.88217,2.28929,6.31453,1.36984e+14,1
511,"Cu64[0.0]",-0.0185674,-0.175358,5.89045,0.100149,-0.00905026,-0.0230354,5.27653e+13,1
512,"Cu64[0.0]",-6.8401,-1.90597,18.6055,0.131133,0.0148057,-0.21917,2.48036e+14,1
518,"Ni59[0.0]",-0.471804,-7.76807,42.2483,-0.232901,0.127975,0.446889,3.19303e+20,1
519,"Cu64[0.0]",0,0,10.6905,-0.0839858,0.00354308,0.00082958,3.81645e+13,1
520,"Cu64[0.0]",0,0,7.60744,-0.275641,0.283351,-0.13558,1.38877e+14,1
542,"Cu64[0.0]",8.36086,-10.0726,5.49797,-0.0340654,-0.0574017,0.0500834,2.31666e+12,1
548,"Cr51[0.0]",19.9386,15.0877,37.8168,7.96576,3.12209,2.79868,1.38822e+15,1
