335,"V48[0.0]",-3.11693,3.58973,-99.4423,-25.507,7.70371,137.252,0.0806694,1
388,"V48[0.0]",-13.0158,2.7447,-99.3158,14.5365,-38.2969,161.268,0.0913337,1
603,"V48[0.0]",6.55917,2.34554,-99.6288,34.6836,-51.8632,163.628,0.120326,1
1117,"V48[0.0]",-1.95698,-5.65835,-99.4634,-30.2052,3.22798,221.116,0.205424,1
1120,"V48[0.0]",16.5151,4.41893,-99.4424,-37.0687,-38.2184,207.285,0.206267,1
1358,"V48[0.0]",4.52882,-10.1781,-99.2973,-33.3007,50.4565,168.974,0.246853,1
1664,"V48[0.0]",-4.31589,-0.259956,-99.5027,-31.3049,18.2626,254.713,0.292264,1
1731,"V48[0.0]",-0.678459,0.580676,-99.4548,67.1574,26.1692,124.601,0.303814,1
2508,"V48[0.0]",0.368875,1.86926,-99.2623,20.3201,-30.8775,124.285,0.431458,1
2629,"V48[0.0]",-0.229345,7.82509,-99.691,-2.97726,-40.5879,143.491,0.443412,1
3446,"V48[0.0]",-7.90561,3.53942,-99.6636,-64.4944,76.8308,153.391,0.574605,1
3942,"V50[0.0]",-6.08554,5.8115,-99.4579,4.7147,33.455,179.784,0.657518,1
3942,"Cr50[0.0]",-6.08554,5.81154,-99.4577,0,0,0,7.37358e+33,1
3989,"V48[0.0]",-0.264936,3.35345,-99.4724,-20.9861,-6.45294,100.021,0.664791,1
5250,"V48[0.0]",-0.789684,6.52106,-99.3787,-15.2452,-21.6018,190.387,0.86817,1
5786,"V48[0.0]",-1.71358,-0.810602,-99.5605,21.4642,-26.2545,158.626,0.950786,1
6249,"V48[0.0]",14.3808,1.19725,-99.5165,21.9745,48.5958,226.971,1.02563,1
6271,"V48[0.0]",-3.93632,5.20645,-99.7076,-17.1076,-14.1406,96.9918,1.02584,1
6290,"V48[0.0]",-1.23347,1.40526,-99.5406,-11.442,-6.18142,159.271,1.03177,1
6501,"Sc44[0.0]",-2.68427,0.974547,-99.6746,-190.404,45.038,105.595,1.06322,1
7081,"V48[0.0]",2.59334,-4.96182,-99.5269,-1.03176,58.8182,249.342,1.15857,1
7201,"V48[0.0]",3.7341,10.856,-99.6747,44.7796,39.7111,225.327,1.17521,1
7807,"V49[0.0]",-3.13694,0.73061,-99.6731,27.7135,-39.0181,221.274,1.2722,1
8148,"V48[0.0]",-3.5202,-2.12447,-99.609,26.0829,-7.99292,238.68,1.32787,1
8228,"Sc44[0.0]",5.8455,6.24704,-99.2652,-9.03311,110.859,-51.0524,1.34661,1
8434,"V46[0.0]",-10.0975,-1.97277,-99.7106,10.4525,-55.2067,153.043,1.37187,1
9111,"V48[0.0]",-10.8859,14.3957,-99.2579,-2.06898,-14.9704,125.387,1.48801,1
9969,"V48[0.0]",0.239705,5.74653,-99.3183,36.0621,12.2442,163.182,1.62425,1
12181,"V47[0.0]",7.57394,-4.9503,-99.6391,40.1227,-37.4677,200.378,1.97263,1
13291,"V48[0.0]",6.85784,-3.78107,-99.6007,46.5072,-22.6813,147.402,2.15089,1
13552,"V48[0.0]",1.39017,0.962867,-99.5167,-2.40492,33.0266,71.5523,2.1941,1
15973,"V48[0.0]",-6.10362,1.42041,-99.3326,47.1439,-0.829425,129.344,2.58464,1
16075,"V50[0.0]",-1.9477,6.20682,-99.2819,-26.1109,13.1867,125.396,2.60184,1
16839,"V48[0.0]",-0.158522,8.57863,-99.2558,20.1381,-36.9943,217.951,2.72453,1
16949,"V50[0.0]",0.450043,-2.61493,-99.2821,-11.2427,-58.2099,186.741,2.74167,1
20742,"V50[0.0]",5.17058,4.76189,-99.4725,15.0104,11.37,123.081,3.34527,1
21131,"V49[0.0]",-4.26343,3.60861,-99.5995,10.2664,45.4685,212.25,3.40531,1
21686,"V48[0.0]",-6.72492,0.00449101,-99.6376,2.61076,36.6183,222.768,3.49345,1
22928,"V48[0.0]",-2.2833,-4.75811,-99.3525,42.1446,39.4331,194.483,3.6971,1
