/control/execute exercise5d.in
/gamos/setParam GmGeometryFromText:FileName exercise5.geom
/gamos/geometry GmGeometryFromText
/gamos/physicsList G4QGSP_BIC_NHP
<<< Geant4 Physics List simulation engine: QGSP_BIC_NHP 1.3

WARNING: G4QStoppingPhysics is deprecated and will be removed in GEANT4 version 10.0.
/gamos/generator GmGenerator
 GmGenUtils::FileInPath ./isotopes.dat in .
 GmGenUtils::FileInPath /home/arce/gamosnew/GAMOS.5.0.0/data/isotopes.dat in /home/arce/gamosnew/GAMOS.5.0.0/data
/run/initialize
 GmGenUtils::FileInPath ./exercise5.geom in .
0x2ab7cf0TEST  G4ParticleHPChannel UpdateData neutronWARNING: model G4LENeutronInelastic is being deprecated and will
disappear in Geant4 version 10.0
@@@ G4ParticleHPInelastic instantiated for particle neutron data directory variable is G4NEUTRONHPDATA pointing to /home/arce/gamosnew/external/geant4/geant4.9.6.p02.gamos/../data/G4NDL4.2/Inelastic
0x30fc4a0TEST  G4ParticleHPChannel UpdateData neutron0x3327c60 0 G4ParticleHPDiscreteTwoBody READ DATA 875292 0 2
0x32baab0 10 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 2
0x2bb1a00 0 G4ParticleHPDiscreteTwoBody READ DATA 3.81768e+06 0 2
0x2bb1a00 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 2
0x2bb1bb0 0 G4ParticleHPDiscreteTwoBody READ DATA 4.10472e+06 0 2
0x2bb1bb0 1 G4ParticleHPDiscreteTwoBody READ DATA 5.96e+06 0 4
0x2bb1bb0 2 G4ParticleHPDiscreteTwoBody READ DATA 6.44e+06 0 4
0x2bb1bb0 3 G4ParticleHPDiscreteTwoBody READ DATA 7.02e+06 0 2
0x2bb1bb0 4 G4ParticleHPDiscreteTwoBody READ DATA 7.54e+06 0 2
0x2bb1bb0 5 G4ParticleHPDiscreteTwoBody READ DATA 8.03e+06 0 2
0x2bb1bb0 6 G4ParticleHPDiscreteTwoBody READ DATA 8.56e+06 0 4
0x2bb1bb0 7 G4ParticleHPDiscreteTwoBody READ DATA 9e+06 0 2
0x2bb1bb0 8 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 2
0x30da020 0 G4ParticleHPDiscreteTwoBody READ DATA 4.20586e+06 0 2
0x30da020 1 G4ParticleHPDiscreteTwoBody READ DATA 5.96e+06 0 4
0x30da020 2 G4ParticleHPDiscreteTwoBody READ DATA 6.44e+06 0 4
0x30da020 3 G4ParticleHPDiscreteTwoBody READ DATA 7.02e+06 0 2
0x30da020 4 G4ParticleHPDiscreteTwoBody READ DATA 7.54e+06 0 2
0x30da020 5 G4ParticleHPDiscreteTwoBody READ DATA 8.03e+06 0 2
0x30da020 6 G4ParticleHPDiscreteTwoBody READ DATA 8.56e+06 0 4
0x30da020 7 G4ParticleHPDiscreteTwoBody READ DATA 9e+06 0 2
0x30da020 8 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 2
0x30943d0 0 G4ParticleHPDiscreteTwoBody READ DATA 4.57507e+06 0 2
0x30943d0 1 G4ParticleHPDiscreteTwoBody READ DATA 5.96e+06 0 2
0x30943d0 2 G4ParticleHPDiscreteTwoBody READ DATA 6.44e+06 0 2
0x30943d0 3 G4ParticleHPDiscreteTwoBody READ DATA 7.02e+06 0 2
0x30943d0 4 G4ParticleHPDiscreteTwoBody READ DATA 7.54e+06 0 2
0x30943d0 5 G4ParticleHPDiscreteTwoBody READ DATA 8.03e+06 0 2
0x30943d0 6 G4ParticleHPDiscreteTwoBody READ DATA 9e+06 0 2
0x30943d0 7 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 2
0x2ebeb30 0 G4ParticleHPDiscreteTwoBody READ DATA 4.67891e+06 0 2
0x2ebeb30 1 G4ParticleHPDiscreteTwoBody READ DATA 5.96e+06 0 2
0x2ebeb30 2 G4ParticleHPDiscreteTwoBody READ DATA 6.44e+06 0 2
0x2ebeb30 3 G4ParticleHPDiscreteTwoBody READ DATA 7.02e+06 0 2
0x2ebeb30 4 G4ParticleHPDiscreteTwoBody READ DATA 7.54e+06 0 2
0x2ebeb30 5 G4ParticleHPDiscreteTwoBody READ DATA 8.03e+06 0 2
0x2ebeb30 6 G4ParticleHPDiscreteTwoBody READ DATA 9e+06 0 2
0x2ebeb30 7 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 2
0x2ec6380 0 G4ParticleHPDiscreteTwoBody READ DATA 4.75122e+06 0 2
0x2ec6380 1 G4ParticleHPDiscreteTwoBody READ DATA 5.96e+06 0 2
0x2ec6380 2 G4ParticleHPDiscreteTwoBody READ DATA 6.44e+06 0 2
0x2ec6380 3 G4ParticleHPDiscreteTwoBody READ DATA 7.02e+06 0 2
0x2ec6380 4 G4ParticleHPDiscreteTwoBody READ DATA 7.54e+06 0 2
0x2ec6380 5 G4ParticleHPDiscreteTwoBody READ DATA 8.03e+06 0 2
0x2ec6380 6 G4ParticleHPDiscreteTwoBody READ DATA 9e+06 0 2
0x2ec6380 7 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 2
0x2ec6530 0 G4ParticleHPDiscreteTwoBody READ DATA 4.99158e+06 0 2
0x2ec6530 1 G4ParticleHPDiscreteTwoBody READ DATA 6.44e+06 0 2
0x2ec6530 2 G4ParticleHPDiscreteTwoBody READ DATA 7.54e+06 0 2
0x2ec6530 3 G4ParticleHPDiscreteTwoBody READ DATA 8.03e+06 0 2
0x2ec6530 4 G4ParticleHPDiscreteTwoBody READ DATA 9e+06 0 2
0x2ec6530 5 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 2
0x2edde20 0 G4ParticleHPDiscreteTwoBody READ DATA 5.34906e+06 0 1
0x2edde20 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2eddfd0 0 G4ParticleHPDiscreteTwoBody READ DATA 5.4444e+06 0 1
0x2eddfd0 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x32caea0 0 G4ParticleHPDiscreteTwoBody READ DATA 5.62252e+06 0 1
0x32caea0 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x32cb050 0 G4ParticleHPDiscreteTwoBody READ DATA 5.6359e+06 0 1
0x32cb050 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2bc1760 0 G4ParticleHPDiscreteTwoBody READ DATA 5.64171e+06 0 1
0x2bc1760 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2bc1910 0 G4ParticleHPDiscreteTwoBody READ DATA 5.7054e+06 0 1
0x2bc1910 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2d1ada0 0 G4ParticleHPDiscreteTwoBody READ DATA 5.7582e+06 0 1
0x2d1ada0 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2c06e20 0 G4ParticleHPDiscreteTwoBody READ DATA 5.87885e+06 0 1
0x2c06e20 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2c06fd0 0 G4ParticleHPDiscreteTwoBody READ DATA 5.9663e+06 0 1
0x2c06fd0 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2cd77f0 0 G4ParticleHPDiscreteTwoBody READ DATA 6.04463e+06 0 1
0x2cd77f0 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x3098a40 0 G4ParticleHPDiscreteTwoBody READ DATA 6.18239e+06 0 1
0x3098a40 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2b533a0 0 G4ParticleHPDiscreteTwoBody READ DATA 6.30729e+06 0 1
0x2b533a0 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2c45100 0 G4ParticleHPDiscreteTwoBody READ DATA 6.34402e+06 0 1
0x2c45100 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x314b980 0 G4ParticleHPDiscreteTwoBody READ DATA 6.38945e+06 0 1
0x314b980 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x314bb30 0 G4ParticleHPDiscreteTwoBody READ DATA 6.52203e+06 0 1
0x314bb30 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x30e0200 0 G4ParticleHPDiscreteTwoBody READ DATA 6.70565e+06 0 1
0x30e0200 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2ed5d50 0 G4ParticleHPDiscreteTwoBody READ DATA 6.71944e+06 0 1
0x2ed5d50 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2ed5f00 0 G4ParticleHPDiscreteTwoBody READ DATA 6.75524e+06 0 1
0x2ed5f00 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2fbdfb0 0 G4ParticleHPDiscreteTwoBody READ DATA 6.77723e+06 0 1
0x2fbdfb0 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2fbe160 0 G4ParticleHPDiscreteTwoBody READ DATA 6.85223e+06 0 1
